 (),# SMs (SM),# TPCs (),data_type,encoding,end_ec,end_vbw,kernel,n_cols,n_vecs,patcher,sample_run,start_ec,start_vbw,unpacker,unpack_n_values,unpack_n_vectors,Achieved Active Warps Per SM (warp),Achieved Occupancy (%),Average DRAM Active Cycles (cycle),Average L1 Active Cycles (cycle),Average L2 Active Cycles (cycle),Average SM Active Cycles (cycle),Average SMSP Active Cycles (cycle),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit SM (block),Block Limit Warps (block),Block Size,Block Size (),Compute (SM) Throughput (%),Driver Shared Memory Per Block (byte/block),Duration (ns),Dynamic Shared Memory Per Block (byte/block),DRAM Frequency (hz),DRAM Throughput (%),Elapsed Cycles (cycle),Enabled TPC IDs (),Function Cache Configuration (),Grid Size,Grid Size (),ID,Kernel Name,L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Memory Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Stack Size (),Static Shared Memory Per Block (byte/block),SM Active Cycles (cycle),SM Frequency (hz),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Threads (thread),Total DRAM Elapsed Cycles (cycle),Total L1 Elapsed Cycles (cycle),Total L2 Elapsed Cycles (cycle),Total SM Elapsed Cycles (cycle),Total SMSP Elapsed Cycles (cycle),Uses Green Context (),Waves Per SM ()
"",80,40,u32,FFOR,0,32,query_multi_column,4,102400,none,5,0,0,old_fls,32,1,10.13,15.83,6115.41,298654.08,88703.56,298654.08,297475.62,6,32,32,32,"(64, 1, 1)",64,58.74,0,230304,0,874531054.61,3.04,302127,all,CachePreferNone,"(51200, 1, 1)",51200,19,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T1, bool *)",7.75,2.94,7.70,168,0,1024,0,298654.08,1311358031.12,12,18.75,3276800,6445056,24055852,18587712,24055852,96223408,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,5,102400,none,1,0,0,old_fls,32,1,10.16,15.88,8076.88,355724.35,119926.75,355724.35,355827.74,6,32,32,32,"(64, 1, 1)",64,55.91,0,276064,0,868233453.11,3.37,362219,all,CachePreferNone,"(51200, 1, 1)",51200,20,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T1, bool *)",7.94,3.04,7.86,168,0,1024,0,355724.35,1311634258.72,12,18.75,3276800,7670016,28752224,22299520,28752224,115008896,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,5,102400,none,2,0,0,old_fls,32,1,10.07,15.74,8070.53,358289.56,120469.14,358289.56,358544.10,6,32,32,32,"(64, 1, 1)",64,55.54,0,277888,0,868205895.90,3.35,364583,all,CachePreferNone,"(51200, 1, 1)",51200,21,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T1, bool *)",7.89,3.03,7.81,168,0,1024,0,358289.56,1311647738.18,12,18.75,3276800,7720448,28945726,22442304,28945726,115782904,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,5,102400,none,3,0,0,old_fls,32,1,10.21,15.95,8070.28,354697.38,119738.30,354697.38,354023.58,6,32,32,32,"(64, 1, 1)",64,56.37,0,273824,0,872502045.11,3.38,359268,all,CachePreferNone,"(51200, 1, 1)",51200,22,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T1, bool *)",7.97,3.05,7.93,168,0,1024,0,354697.38,1311571788.20,12,18.75,3276800,7645184,28519920,22120064,28519920,114079680,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,5,102400,none,4,0,0,old_fls,32,1,10.31,16.10,8069.41,352495.96,119278.58,352495.96,352274.83,6,32,32,32,"(64, 1, 1)",64,56.55,0,273056,0,869975389.66,3.40,358303,all,CachePreferNone,"(51200, 1, 1)",51200,23,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T1, bool *)",8.01,3.04,7.95,168,0,1024,0,352495.96,1311652188.56,12,18.75,3276800,7601664,28431116,22064448,28431116,113724464,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,5,102400,none,5,0,0,old_fls,32,1,10.16,15.88,8073.47,356021.04,119651.84,356021.04,354598.78,6,32,32,32,"(64, 1, 1)",64,56.20,0,274816,0,872496506.75,3.37,360614,all,CachePreferNone,"(51200, 1, 1)",51200,24,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T1, bool *)",7.94,3.05,7.90,168,0,1024,0,356021.04,1311719477.76,12,18.75,3276800,7672832,28605954,22197952,28605954,114423816,0,106.67
"",80,40,u32,FFOR,0,32,query_multi_column,6,102400,none,1,0,0,old_fls,32,1,7.48,11.69,9375.31,555020.15,181008.14,555020.15,551460.68,4,32,32,32,"(64, 1, 1)",64,47.16,0,428672,0,873581666.17,2.50,562555,all,CachePreferNone,"(51200, 1, 1)",51200,25,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T1, bool *)",6.00,2.27,5.96,236,0,1024,0,555020.15,1311974345.58,8,12.50,3276800,11983360,44727640,34662912,44727640,178910560,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,6,102400,none,2,0,0,old_fls,32,1,7.50,11.71,9374.91,555415.40,181064.92,555415.40,550797.62,4,32,32,32,"(64, 1, 1)",64,47.04,0,428928,0,874552372.43,2.50,562937,all,CachePreferNone,"(51200, 1, 1)",51200,26,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T1, bool *)",6.00,2.24,5.94,236,0,1024,0,555415.40,1312083846.24,8,12.50,3276800,12003840,44843606,34703360,44843606,179374424,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,6,102400,none,3,0,0,old_fls,32,1,7.48,11.69,9370.94,555886.09,181626.45,555886.09,551350.07,4,32,32,32,"(64, 1, 1)",64,46.94,0,429536,0,873239961.26,2.50,563718,all,CachePreferNone,"(51200, 1, 1)",51200,27,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T1, bool *)",5.99,2.31,5.93,236,0,1024,0,555886.09,1312015756.54,8,12.50,3276800,12002816,44940338,34748352,44940338,179761352,0,160
"",80,40,u32,FFOR,0,32,query_multi_column,6,102400,none,4,0,0,old_fls,32,1,7.48,11.69,9375.03,554994.44,181530.64,554994.44,550878.88,4,32,32,32,"(64, 1, 1)",64,47.15,0,428512,0,874131879.62,2.50,562385,all,CachePreferNone,"(51200, 1, 1)",51200,28,"void query_multi_column<unsigned int, 1, 32, FFORDecompressor<unsigned int, 1, BitUnpackerOldFls<unsigned int, 1, 32, FFORFunctor<unsigned int, 1>>, FFORColumn<unsigned int>>, FFORColumn<unsigned int>>(T5, T5, T5, T5, T5, T5, T1, bool *)",6.00,2.28,5.96,236,0,1024,0,554994.44,1312113001.89,8,12.50,3276800,11986432,44740894,34664320,44740894,178963576,0,160
