return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression,BitcompSparse,publicbi-Physicians-line_srvc_cnt,104857600,0.535776,1.008564,f32,25600,4
0,"","",decompression,zstd,alp-medicare1,209715200,14.650720,2.060607,f64,25600,5
0,"","",decompression,Deflate,alp-cms1,209715200,28.509472,1.206466,f64,25600,4
0,"","",decompression,GDeflate,alp-city_temperature_f,209715200,7.680928,1.923680,f64,25600,5
0,"","",decompression,LZ4,alp-gov31,209715200,6.148192,14.547538,f64,25600,5
0,"","",decompression,Snappy,publicbi-Physicians-line_srvc_cnt,104857600,6.133344,1.679635,f32,25600,4
0,"","",decompression_query,BitcompSparse,publicbi-MedPayment1-line_srvc_cnt,104857600,0.725632,1.008590,f32,25600,4
0,"","",decompression_query,zstd,alp-bitcoin_transactions_f,209715200,13.780384,1.606041,f64,25600,4
0,"","",decompression,LZ4,publicbi-Telco-RECHRG_TOTAL_LOAD_P4,104857600,6.297760,1.939849,f32,25600,3
0,16.522695,187.085195,decompression,GALP,publicbi-Telco-TOTAL_MINS_P1,104857600,0.361824,1.238055,f32,25600,5
0,22.493047,267.827148,decompression,GALP,publicbi-CommonGovernment-baseandalloptionsvalue,104857600,0.536480,0.898823,f32,25600,2
0,"","",decompression,GDeflate,alp-neon_air_pressure,209715200,7.601792,1.150679,f64,25600,3
0,16.470664,155.314180,decompression,ALP,publicbi-Telco-ONNET_MINS_P1,104857600,0.448512,1.344216,f32,25600,3
0,14.997734,101.303398,decompression,ALP,publicbi-Telco-ONNET_MINS_P3,104857600,0.372736,1.616078,f32,25600,2
0,"","",decompression,LZ4,alp-gov30,209715200,6.110208,7.175170,f64,25600,4
0,"","",decompression,zstd,publicbi-Telco-TOTAL_OUTGOING_MIN_P3,104857600,10.242112,1.638998,f32,25600,5
0,"","",decompression_query,Snappy,alp-bird_migration_f,209715200,9.205728,2.010449,f64,25600,5
0,"","",decompression,GDeflate,alp-nyc29,209715200,7.624448,1.182192,f64,25600,3
0,1.877969,8.095977,decompression_query,ALP,alp-gov31,209715200,0.219136,24.649473,f64,25600,5
0,"","",decompression_query,Snappy,alp-medicare9,209715200,5.506944,3.086691,f64,25600,1
0,"","",decompression_query,Snappy,alp-gov31,209715200,4.084256,12.833491,f64,25600,4
0,10.637852,0.109961,decompression_query,ALP,alp-city_temperature_f,209715200,0.171008,5.963263,f64,25600,2
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_MINS_P6,104857600,3.545472,1.282843,f32,25600,5
0,"","",decompression,BitcompSparse,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,0.515168,1.042100,f32,25600,1
0,24.518398,223.363477,decompression_query,GALP,publicbi-Telco-RECHRG_INC_MIN_USED_P2,104857600,0.234336,0.900312,f32,25600,1
0,"","",decompression_query,Snappy,alp-gov10,209715200,11.936256,1.699918,f64,25600,3
0,"","",decompression,zstd,publicbi-Telco-CHRGD_REV_P1,104857600,10.058560,1.495213,f32,25600,2
