return_code,avg_bits_per_value,avg_exceptions_per_vector,kernel,compressor,file,n_bytes,duration_ms,compression_ratio,data_type,n_vecs,sample_run
0,"","",decompression_query,Deflate,publicbi-CMSprovider-STDEV_SUBMITTED_CHRG_AMT,37150720,9.007360,2.194043,f32,0,3
0,"","",decompression_query,BitcompSparse,alp-bitcoin_f,16384,0.045728,0.991768,f64,0,4
0,"","",decompression,GDeflate,publicbi-Telco-TOTAL_INCOMING_MIN_P1,11649024,2.664672,1.203272,f32,0,3
0,"","",decompression,Bitcomp,publicbi-Telco-ONNET_MINS_P4,11649024,0.327456,1.276898,f32,0,5
0,"","",decompression_query,zstd,publicbi-CommonGovernment-baseandexercisedoptionsvalue,45547520,9.623360,1.394384,f32,0,4
0,13.648383,8.486287,decompression_query,GALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,11649024,0.035680,2.191651,f32,0,5
0,"","",decompression_query,LZ4,alp-neon_wind_dir,1591189504,40.556545,1.918043,f64,0,4
0,"","",decompression_query,zstd,alp-bitcoin_transactions_f,1843200,5.092960,1.604587,f64,0,1
0,"","",decompression_query,Thrust,alp-medicare9,74301440,2.529568,1.000000,f64,0,5
0,"","",decompression_query,Snappy,publicbi-Physicians-line_srvc_cnt,36610048,4.421344,1.676492,f32,0,4
0,13.648383,8.486287,decompression_query,ALP,publicbi-Telco-RECHRG_TOTAL_LOAD_P6,11649024,0.057344,2.269364,f32,0,4
0,"","",decompression,Bitcomp,publicbi-Telco-TOTAL_MINS_P1,11649024,0.309920,1.075324,f32,0,5
0,"","",decompression,GDeflate,publicbi-Telco-ONNET_MINS_P3,11649024,2.639296,1.558532,f32,0,1
0,17.989803,178.278833,decompression,GALP,publicbi-Telco-TOTAL_OUTGOING_MIN_P1,11649024,0.056736,1.189533,f32,0,2
0,"","",decompression,zstd,alp-nyc29,139567104,11.224512,2.520029,f64,0,3
0,"","",decompression_query,zstd,publicbi-Telco-ONNET_MINS_P4,11649024,7.623744,1.952593,f32,0,4
0,"","",decompression_query,zstd,alp-basel_wind_f,983040,4.064672,3.103285,f64,0,3
0,40.423043,7.704520,decompression,ALP,alp-cms25,148602880,0.417792,1.556765,f64,0,4
0,8.175926,4.259259,decompression,ALP,alp-neon_pm10_dust,1769472,0.046080,7.446521,f64,0,5
0,22.328059,305.763713,decompression_query,GALP,publicbi-Telco-TOTAL_INCOMING_MIN_P1,11649024,0.052704,0.859859,f32,0,3
0,15.094937,100.566456,decompression_query,GALP,publicbi-Telco-ONNET_MINS_P3,11649024,0.042240,1.571425,f32,0,3
0,"","",decompression,BitcompSparse,publicbi-CMSprovider-AVERAGE_MEDICARE_ALLOWED_AMT,37150720,0.376032,1.001742,f32,0,4
0,"","",decompression_query,zstd,alp-gov10,1128988672,83.820831,2.299754,f64,0,3
0,28.341667,17.708333,decompression_query,ALP,alp-basel_wind_f,983040,0.039936,2.146854,f64,0,1
0,17.194444,222.210619,decompression_query,GALP,publicbi-Telco-TOTAL_MINS_P6,11649024,0.047392,1.136152,f32,0,5
