ID,alias,vbw,ec,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Shared Memory Configuration Size (byte),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
16,galp-branchy-1v,8,16,125000,696001,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",35.80,35.80,29.11,12.67,82.89,31,0,24.41,32,32,32,32,64,100,94.54,60.51
17,galp-branchy-1v,8,17,125000,698077,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.33,37.33,29.09,13.25,82.76,31,0,24.41,32,32,32,32,64,100,94.57,60.53
18,galp-branchy-1v,8,18,125000,698281,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.30,37.30,29.12,13.24,82.76,31,0,24.41,32,32,32,32,64,100,94.55,60.51
19,galp-branchy-1v,8,19,125000,699785,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.20,37.20,29.11,13.22,82.87,31,0,24.41,32,32,32,32,64,100,94.75,60.64
20,galp-branchy-1v,8,20,125000,700656,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.14,37.14,29.12,13.21,82.71,31,0,24.41,32,32,32,32,64,100,94.62,60.56
21,galp-branchy-1v,8,21,125000,701411,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.12,37.12,29.15,13.20,82.85,31,0,24.41,32,32,32,32,64,100,94.67,60.59
22,galp-branchy-1v,8,22,125000,701465,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.13,37.13,29.16,13.20,82.90,31,0,24.41,32,32,32,32,64,100,94.70,60.61
23,galp-branchy-1v,8,23,125000,703730,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.98,36.98,29.17,13.15,82.86,31,0,24.41,32,32,32,32,64,100,94.73,60.63
24,galp-branchy-1v,8,24,125000,704206,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",37.01,37.01,29.18,13.14,82.92,31,0,24.41,32,32,32,32,64,100,94.81,60.68
25,galp-branchy-1v,8,25,125000,704921,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.90,36.90,29.17,13.43,82.86,31,0,24.41,32,32,32,32,64,100,94.88,60.73
26,galp-branchy-1v,8,26,125000,706628,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.86,36.86,29.18,13.40,82.86,31,0,24.41,32,32,32,32,64,100,94.91,60.74
27,galp-branchy-1v,8,27,125000,707055,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.84,36.84,29.19,13.38,82.88,31,0,24.41,32,32,32,32,64,100,94.84,60.69
28,galp-branchy-1v,8,28,125000,707327,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.78,36.78,29.20,13.38,82.85,31,0,24.41,32,32,32,32,64,100,94.85,60.70
29,galp-branchy-1v,8,29,125000,708386,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.76,36.76,29.20,13.36,82.85,31,0,24.41,32,32,32,32,64,100,94.86,60.71
30,galp-branchy-1v,8,30,125000,709533,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.75,36.75,29.22,13.35,82.83,31,0,24.41,32,32,32,32,64,100,94.80,60.67
31,galp-branchy-1v,8,31,125000,710017,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.73,36.73,29.22,13.34,82.91,31,0,24.41,32,32,32,32,64,100,94.81,60.68
32,galp-branchy-1v,8,32,125000,710017,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",36.65,36.65,29.22,13.34,82.93,31,0,24.41,32,32,32,32,64,100,94.91,60.74
33,galp-branchy-1v,8,33,125000,712429,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.84,39.84,29.31,13.92,82.74,31,0,24.41,32,32,32,32,64,100,94.78,60.66
34,galp-branchy-1v,8,34,125000,712979,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.81,39.81,29.33,13.97,82.78,31,0,24.41,32,32,32,32,64,100,94.78,60.66
35,galp-branchy-1v,8,35,125000,713686,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.81,39.81,29.35,13.95,82.80,31,0,24.41,32,32,32,32,64,100,94.84,60.70
36,galp-branchy-1v,8,36,125000,713287,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.84,39.84,29.37,13.97,82.87,31,0,24.41,32,32,32,32,64,100,94.72,60.62
37,galp-branchy-1v,8,37,125000,713419,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.81,39.81,29.38,13.97,82.87,31,0,24.41,32,32,32,32,64,100,94.91,60.74
38,galp-branchy-1v,8,38,125000,714019,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.75,39.75,29.39,13.96,82.87,31,0,24.41,32,32,32,32,64,100,94.98,60.79
39,galp-branchy-1v,8,39,125000,713954,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.76,39.76,29.41,13.97,82.90,31,0,24.41,32,32,32,32,64,100,94.93,60.76
40,galp-branchy-1v,8,40,125000,714596,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.69,39.69,29.43,13.95,82.76,31,0,24.41,32,32,32,32,64,100,94.67,60.59
41,galp-branchy-1v,8,41,125000,715878,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.64,39.64,29.54,14.23,82.84,31,0,24.41,32,32,32,32,64,100,94.88,60.72
42,galp-branchy-1v,8,42,125000,717687,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.68,39.68,29.52,14.21,82.83,31,0,24.41,32,32,32,32,64,100,94.66,60.58
43,galp-branchy-1v,8,43,125000,716526,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.56,39.56,29.54,14.24,82.82,31,0,24.41,32,32,32,32,64,100,94.87,60.71
44,galp-branchy-1v,8,44,125000,716948,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.61,39.61,29.55,14.23,82.85,31,0,24.41,32,32,32,32,64,100,94.85,60.70
45,galp-branchy-1v,8,45,125000,717419,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.56,39.56,29.56,14.23,82.76,31,0,24.41,32,32,32,32,64,100,94.87,60.72
46,galp-branchy-1v,8,46,125000,717019,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.54,39.54,29.57,14.24,82.75,31,0,24.41,32,32,32,32,64,100,94.84,60.70
47,galp-branchy-1v,8,47,125000,718005,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.59,39.59,29.59,14.21,82.85,31,0,24.41,32,32,32,32,64,100,94.85,60.70
48,galp-branchy-1v,8,48,125000,718068,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",39.52,39.52,29.60,14.22,82.85,31,0,24.41,32,32,32,32,64,100,94.89,60.73
49,galp-branchy-1v,8,49,125000,720942,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",41.09,41.09,29.66,14.79,82.67,31,0,24.41,32,32,32,32,64,100,94.78,60.66
50,galp-branchy-1v,8,50,125000,720222,"void scan_column<float, AlpUnpacker<float, 1, 1, BitUnpackerStatefulBranchless<float, 1, 1, ALPFunctor<float, 1>, 1024>, NaiveALPExceptionPatcher<float, 1, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",41.06,41.06,29.66,14.82,82.72,31,0,24.41,32,32,32,32,64,100,94.66,60.58
0,galp-branchy-4v,8,0,125000,363226,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",55.52,55.52,15.01,19.44,85.56,60,0,12.21,32,16,32,32,32,50,47.08,30.13
1,galp-branchy-4v,8,1,125000,448313,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",50.46,50.46,16.46,17.46,80.61,60,0,12.21,32,16,32,32,32,50,46.15,29.54
2,galp-branchy-4v,8,2,125000,474480,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",47.92,47.92,17.57,16.66,79.80,60,0,12.21,32,16,32,32,32,50,46.49,29.75
3,galp-branchy-4v,8,3,125000,490954,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",46.41,46.41,18.18,16.09,79.72,60,0,12.21,32,16,32,32,32,50,46.79,29.94
4,galp-branchy-4v,8,4,125000,500620,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",45.27,45.27,18.55,15.74,79.54,60,0,12.21,32,16,32,32,32,50,46.93,30.04
5,galp-branchy-4v,8,5,125000,510971,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",44.41,44.41,18.84,15.41,79.82,60,0,12.21,32,16,32,32,32,50,47.09,30.14
6,galp-branchy-4v,8,6,125000,517328,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",43.84,43.84,19.06,15.22,79.91,60,0,12.21,32,16,32,32,32,50,47.16,30.18
7,galp-branchy-4v,8,7,125000,526162,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",43.28,43.28,19.25,14.95,79.86,60,0,12.21,32,16,32,32,32,50,47.22,30.22
8,galp-branchy-4v,8,8,125000,530046,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",42.68,42.68,19.40,14.84,79.88,60,0,12.21,32,16,32,32,32,50,47.25,30.24
9,galp-branchy-4v,8,9,125000,537941,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",42.95,42.95,19.46,14.90,79.60,60,0,12.21,32,16,32,32,32,50,47.40,30.33
10,galp-branchy-4v,8,10,125000,542521,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",42.07,42.07,19.58,14.63,79.64,60,0,12.21,32,16,32,32,32,50,47.31,30.28
11,galp-branchy-4v,8,11,125000,546689,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.54,41.54,19.73,14.45,79.76,60,0,12.21,32,16,32,32,32,50,47.35,30.30
12,galp-branchy-4v,8,12,125000,549735,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.14,41.14,19.84,14.32,79.92,60,0,12.21,32,16,32,32,32,50,47.32,30.29
13,galp-branchy-4v,8,13,125000,554268,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.84,40.84,19.95,14.20,79.79,60,0,12.21,32,16,32,32,32,50,47.44,30.36
14,galp-branchy-4v,8,14,125000,558046,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.60,40.60,20.05,14.09,79.64,60,0,12.21,32,16,32,32,32,50,47.46,30.38
15,galp-branchy-4v,8,15,125000,562537,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.33,40.33,20.15,13.97,79.94,60,0,12.21,32,16,32,32,32,50,47.40,30.33
16,galp-branchy-4v,8,16,125000,565090,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.13,40.13,20.24,13.90,80.08,60,0,12.21,32,16,32,32,32,50,47.41,30.34
17,galp-branchy-4v,8,17,125000,576363,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.59,41.59,20.07,14.42,79.09,60,0,12.21,32,16,32,32,32,50,47.36,30.31
18,galp-branchy-4v,8,18,125000,576243,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.23,41.23,20.24,14.35,79.60,60,0,12.21,32,16,32,32,32,50,47.40,30.34
19,galp-branchy-4v,8,19,125000,578406,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.32,41.32,20.36,14.29,79.63,60,0,12.21,32,16,32,32,32,50,47.45,30.37
20,galp-branchy-4v,8,20,125000,580568,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",41.01,41.01,20.42,14.24,79.62,60,0,12.21,32,16,32,32,32,50,47.41,30.34
21,galp-branchy-4v,8,21,125000,582746,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.87,40.87,20.50,14.19,79.57,60,0,12.21,32,16,32,32,32,50,47.40,30.34
22,galp-branchy-4v,8,22,125000,586702,"void scan_column<float, AlpUnpacker<float, 4, 1, BitUnpackerStateful<float, 4, 1, ALPFunctor<float, 4>, RegisterBranchlessLoader<float, 4, 2>, 1024>, NaiveALPExceptionPatcher<float, 4, 1>, AlpExtendedColumn<float>>, AlpExtendedColumn<float>, 4>(T3, T1, bool *)","(64, 1, 1)","(15625, 1, 1)",40.72,40.72,20.58,14.10,79.84,60,0,12.21,32,16,32,32,32,50,47.46,30.37
