ID,alias,vbw,n_vecs,Elapsed Cycles (cycle),Kernel Name,Block Size,Grid Size,Memory Throughput (%),DRAM Throughput (%),L1/TEX Cache Throughput (%),L2 Cache Throughput (%),SM Active Cycles (cycle),Compute (SM) Throughput (%),Registers Per Thread (register/thread),Threads (thread),Waves Per SM (),Block Limit SM (block),Block Limit Registers (block),Block Limit Shared Mem (block),Block Limit Warps (block),Theoretical Active Warps per SM (warp),Theoretical Occupancy (%),Achieved Occupancy (%),Achieved Active Warps Per SM (warp)
10,bp-1v,10,125000,616605,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",38.52,38.52,16.90,13.30,612394.64,95.67,29,4000000,24.41,32,32,32,32,64,100,95.29,60.99
11,bp-1v,11,125000,616453,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",42.32,42.32,16.90,14.63,612471.14,95.65,29,4000000,24.41,32,32,32,32,64,100,95.38,61.05
12,bp-1v,12,125000,616910,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",46.07,46.07,16.89,15.95,612505.45,95.61,29,4000000,24.41,32,32,32,32,64,100,95.25,60.96
13,bp-1v,13,125000,616472,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",49.84,49.84,16.89,17.29,612672.75,95.63,29,4000000,24.41,32,32,32,32,64,100,95.28,60.98
14,bp-1v,14,125000,617183,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",53.62,53.62,16.89,18.60,612708.25,95.53,29,4000000,24.41,32,32,32,32,64,100,95.44,61.08
15,bp-1v,15,125000,617448,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",57.61,57.61,16.89,19.92,612742.88,95.56,29,4000000,24.41,32,32,32,32,64,100,95.28,60.98
16,bp-1v,16,125000,616505,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",61.39,61.39,16.87,21.28,612377.15,95.64,29,4000000,24.41,32,32,32,32,64,100,95.34,61.02
17,bp-1v,17,125000,617376,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",65.02,65.02,17.36,22.62,613194.85,95.56,29,4000000,24.41,32,32,32,32,64,100,95.27,60.97
18,bp-1v,18,125000,617554,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",68.53,68.53,18.41,23.96,613062.12,95.52,29,4000000,24.41,32,32,32,32,64,100,95.33,61.01
19,bp-1v,19,125000,617990,"void scan_column<unsigned int, BPUnpacker<unsigned int, BitUnpackerStateful<unsigned int, 1, 1, BPFunctor<unsigned int>, CacheLoader<unsigned int, 1>, 0>, BPFunctor<unsigned int>, BPColumn<unsigned int>>, BPColumn<unsigned int>, 1>(T3, T1, bool *)","(64, 1, 1)","(62500, 1, 1)",72.24,72.24,19.43,25.29,613142.82,95.50,29,4000000,24.41,32,32,32,32,64,100,95.36,61.03
